"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","824","Should GET customers sorted by name in asc order","webkit","Tue Feb 04 14:13:22 YEKT 2025","passed","Tue Feb 04 14:13:23 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1","Should GET not sorted products list (incorrect sort field)","firefox","Tue Feb 04 14:13:14 YEKT 2025","skipped","Tue Feb 04 14:13:14 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","295","Should NOT GET the full list of customers with empty authorization token","firefox","Tue Feb 04 14:13:19 YEKT 2025","passed","Tue Feb 04 14:13:19 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","716","Should GET not sorted products list (incorrect sort field)","webkit","Tue Feb 04 14:13:25 YEKT 2025","passed","Tue Feb 04 14:13:25 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1394","Should GET customers sorted by name in asc order","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:01 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","113","Should NOT GET the full list of customers with incorrect authorization token","webkit","Tue Feb 04 14:13:30 YEKT 2025","passed","Tue Feb 04 14:13:30 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","801","Should GET customers sorted by createdOn in asc order","webkit","Tue Feb 04 14:13:29 YEKT 2025","passed","Tue Feb 04 14:13:30 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1728","Should GET customers sorted by createdOn in desc order","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:02 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1068","Should GET the complete list of customers without sorting and filtering","webkit","Tue Feb 04 14:13:17 YEKT 2025","passed","Tue Feb 04 14:13:18 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1020","Should GET customers sorted by createdOn in desc order","webkit","Tue Feb 04 14:13:24 YEKT 2025","passed","Tue Feb 04 14:13:25 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","1112","Should GET full list of customers with invalid value for filtering by the Country field","api","Tue Feb 04 14:13:00 YEKT 2025","passed","Tue Feb 04 14:13:01 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","995","Should GET customers sorted by country in desc order","api","Tue Feb 04 14:13:07 YEKT 2025","passed","Tue Feb 04 14:13:08 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
"","285","Should GET customers filtred by Country","webkit","Tue Feb 04 14:13:22 YEKT 2025","passed","Tue Feb 04 14:13:22 YEKT 2025","[API] [Customers] [Sorting and filtering list of the Products]","api\tests\customers\getAllcustomers.test.ts","",""
